Wikidata ID,WD CY,WD EN,WLC CY,WLC EN,Authority / Area,Settlement type
Q4667195,Aberthin,Aberthin,Aberthin,Aberthin,Vale of Glamorgan,village
Q4667208,Abertridwr,Abertridwr,Abertridwr,Abertridwr,Caerphilly County Borough,village
Q4667211,"Abertridwr, Powys",Abertridwr,Abertridwr,Abertridwr,Powys,village
Q4667210,Abertrinant,Abertrinant,Abertrinant,Abertrinant,Gwynedd,village
Q2272537,Abertyleri,Abertillery,Abertyleri,Abertillery,Blaenau Gwent County Borough,town
Q4667213,Abertyswg,Abertysswg,Abertyswg,Abertyswg,Caerphilly County Borough,village
Q4667218,Aberysgir,Aberyscir,Aberysgir,Aberysgir,Powys,hamlet
Q213154,Aberystwyth,Aberystwyth,Aberystwyth,Aberystwyth,Ceredigion,market town
Q107032170,Achddu,Achddu,Achddu,Achddu,Carmarthenshire,suburb
Q4675083,Acrefair,Acrefair,Acre-fair,Acre-fair,Wrexham County Borough,village
Q107032172,Acstyn,Axton,Acstyn,Axton,Flintshire,village
Q107032611,Acton Fechan,Little Acton,Little Acton,Little Acton,Wrexham County Borough,suburb
Q425944,Adfa,Adfa,Adfa,Adfa,Powys,village
Q3400150,Adpar,Adpar,Atpar,Atpar,Ceredigion,village
Q4699311,Aethnen,Aithnen,,,Powys,village
Q3398849,Afon Wen,Afon Wen,Afon-wen,Afon-wen,Gwynedd,hamlet
Q4689301,Afon-wen,Afonwen,Afon-wen,Afon-wen,Flintshire,village
Q107032173,Afoneitha,Afoneitha,Afoneitha,Afoneitha,Wrexham County Borough,suburb
Q20576510,"Aifft, Sir Ddinbych",Aifft,,,Denbighshire,hamlet
Q107032175,Allt,Allt,Allt,Allt,Carmarthenshire,village
Q13125464,Allt y Main,Allt y Main,Allt y Main,Allt y Main,Powys,hill
Q16200266,Allt-y-Main,Allt-y-Main,,,Powys,village
Q4733299,Allt-yr-ynn,Allt-yr-yn,Allt-yr-ynn,Allt-yr-ynn,City of Newport,suburb
Q4733312,Alltami,Alltami,Alltami,Alltami,Flintshire,village
Q5579044,Allteuryn,Goldcliff,Allteuryn,Goldcliff,Monmouthshire,village
Q20577140,Alltfach,Alltfach,,,Pembrokeshire,human settlement
Q16200262,Alltmawr,Alltmawr,,,Powys,village
Q4733317,Alltwalis,Alltwalis,Alltwalis,Alltwalis,Carmarthenshire,village
Q4733322,Alltwen,Alltwen,Allt-wen,Allt-wen,Neath Port Talbot County Borough,village
Q3398458,Alltyblaca,Alltyblacca,Alltyblaca,Alltyblaca,Ceredigion,village
Q17743908,Alltyrodyn,Alltyrodyn,Alltyrodyn,Alltyrodyn,Llandysul,house
Q107032177,Alport,Alport,Alport,Alport,Powys,hamlet
Q4738378,Alway,Alway,Alway,Alway,City of Newport,suburb
Q472667,Amlwch,Amlwch,Amlwch,Amlwch,Amlwch Community,town
Q4748719,Amroth,Amroth,Amroth,Amroth,Pembrokeshire,village
Q107032179,Anelog,Anelog,Anelog,Anelog,Gwynedd,human settlement
Q2849621,Angle,Angle,Angle,Angle,Pembrokeshire,village
Q177165,Arberth,Narberth,Arberth,Narberth,Pembrokeshire,town
Q5038481,Ardal Drefol Caerdydd,Cardiff Urban Area,,,Wales,urban area
Q4787855,Arddlin,Arddlin,Ardd-lin,Arddleen,Powys,village
Q378738,Argoed,Argoed,Argoed,Argoed,Caerphilly County Borough,village
Q16200258,Argoed,Argoed,,,Powys,village
Q20579208,Argoed,Argoed,,,Flintshire,community
Q3396790,Arthog,Arthog,Arthog,Arthog,Gwynedd,community
Q107032181,Ashfield,Ashfield,Ashfield,Ashfield,Carmarthenshire,village
Q4811017,Aston,Aston Park,Aston,Aston,Flintshire,village
Q20579935,Axton Hill,Axton Hill,,,Pembrokeshire,village
Q4837689,"Babel, Sir Gaerfyrddin","Babel, Carmarthenshire",Babel,Babel,Carmarthenshire,hamlet
Q4837708,Babell,Babell,Babell,Babell,Ysceifiog,village
Q4839610,Bace,"Backe, Carmarthenshire",,,Carmarthenshire,village
Q4838727,Bachau,Bachau,Bachau,Bachau,Anglesey,hamlet
Q4838739,Bachelldref,Bacheldre,,,Powys,village
Q107032184,Bachygwreiddyn,Bachygwreiddyn,Bachygwreiddyn,Bachygwreiddyn,City and County of Swansea,human settlement
Q27522864,Badminton,Badminton,,,Blaenau Gwent County Borough,community
Q4841967,Bae Baglan,Baglan Bay,,,Neath Port Talbot County Borough,community
Q13125694,Bae Cinmel,Kinmel Bay,Bae Cinmel,Kinmel Bay,Kinmel Bay and Towyn,village
Q15238556,Bae Cinmel a Thywyn,Kinmel Bay and Towyn,,,Conwy County Borough,community
Q527467,Bae Colwyn,Colwyn Bay,Bae Colwyn,Colwyn Bay,Conwy County Borough,town
Q13125695,Bae Penrhyn,Penrhyn Bay,,,Conwy County Borough,village
Q106995575,Bae Treco,Trecco Bay,Traeth Treco,Trecco Bay,Bridgend County Borough,bay
Q3401133,Bagillt,Bagillt,Bagillt,Bagillt,Flintshire,community
Q2477613,Baglan,Baglan,Baglan,Baglan,Neath Port Talbot County Borough,village
Q107032185,Ballan,Ballan,Ballan,Ballan,Monmouthshire,territory
Q4854038,Banc Du,Banc Du,,,Wales,human settlement
Q15196435,Banc-y-Darren,Banc-y-Darren,Bancydarren,Bancydarren,Ceredigion,hamlet
Q20580345,Banc-y-ffordd,Banc-y-ffordd,Banc-y-ffordd,Banc-y-ffordd,Carmarthenshire,hamlet
Q16245907,Banc-y-môr,Banc-y-môr,,,Ceredigion,village
Q107032187,Bancffosfelen,Bancffosfelen,Bancffosfelen,Bancffosfelen,Carmarthenshire,village
Q13125714,Bancycapel,Bancycapel,Bancycapel,Bancycapel,Carmarthenshire,hamlet
Q4854175,Bancyfelin,Bancyfelin,Bancyfelin,Bancyfelin,Carmarthenshire,village
Q107032188,Bancymansel,Bancymansel,Bancymansel,Bancymansel,Carmarthenshire,territory
Q4854847,Baneswell,Baneswell,Baneswell,Baneswell,City of Newport,suburb
Q234178,Bangor,Bangor,Bangor,Bangor,Gwynedd,city
Q15987469,Bangor Teifi,Bangor Teifi,Bangor Teifi,Bangor Teifi,Ceredigion,village
Q107032190,Bangor Uchaf,Upper Bangor,Bangor Uchaf,Upper Bangor,Gwynedd,suburb
Q3404531,Bangor-is-y-coed,Bangor-on-Dee,Bangor Is-coed,Bangor-on-Dee,Wrexham County Borough,village
Q20571682,Banw,Banwy,,,Powys,community
Q3398615,Banwen,Banwen,Banwen,Banwen,Neath Port Talbot County Borough,village
Q107032191,Barbadoes Green,Barbadoes Green,Barbadoes Green,Barbadoes Green,Monmouthshire,territory
Q2664179,Bargoed,Bargoed,Bargod,Bargoed,Caerphilly County Borough,town
Q107032193,Barland,Barland,Barland,Barland,Powys,hamlet
Q4861449,Barnardtown,Barnardtown,Barnardtown,Barnardtown,,suburb
Q25171463,Barrack Hill,Barrack Hill,Barrack Hill,Barrack Hill,City of Newport,suburb
Q4868001,Basaleg,Bassaleg,Basaleg,Basaleg,Newport,district
Q13125767,Bausley a Chrugion,Bausley with Criggion,,,Powys,community
Q107032195,Beaufort Hill,Beaufort Hill,Beaufort Hill,Beaufort Hill,Blaenau Gwent County Borough,suburb
Q20580690,Bedd y Cawr,Bedd y Cawr,,,Neath Port Talbot County Borough,village
Q791811,Beddgelert,Beddgelert,Beddgelert,Beddgelert,Gwynedd,community
Q16245946,Beddgeraint,Beddgeraint,,,Ceredigion,village
Q3910782,Bedlinog,Bedlinog,Bedlinog,Bedlinog,Merthyr Tydfil County Borough,village
Q107032199,Bedw-lwyn,Bedw-lwyn,Bedw-lwyn,Bedw-lwyn,Wrexham County Borough,hamlet
Q3401157,Bedwas,Bedwas,Bedwas,Bedwas,"Bedwas, Trethomas and Machen",town
Q4879463,"Bedwas, Trethomos a Machen","Bedwas, Trethomas and Machen",,,Caerphilly County Borough,community
Q107032197,Bedwell,Bedwell,Bedwell,Bedwell,Wrexham County Borough,hamlet
Q4879473,Bedwellte,Bedwellty,Bedwellte,Bedwellty,Caerphilly County Borough,hamlet
Q4879677,Beechwood,Beechwood,Beechwood,Beechwood,City of Newport,community
Q107032198,Began,Began,Began,Began,City of Newport,hamlet
Q4880431,Begeli,Begelly,Begeli,Begelly,Pembrokeshire,village
Q16245956,Beggar's Bush,Beggar's Bush,,,Powys,hamlet
Q107032200,Beggars Pound,Beggars Pound,Beggars Pound,Beggars Pound,Vale of Glamorgan,human settlement
Q107032202,Beili-glas,Beili-glas,Beili-glas,Beili-glas,Monmouthshire,human settlement
Q16245961,Belan,Belan,Belan,Belan,Powys,village
Q107032203,Belgrano,Belgrano,Belgrano,Belgrano,Conwy County Borough,village
Q107032205,Bengal,Bengal,Bengal,Bengal,Pembrokeshire,hamlet
Q402177,Benllech,Benllech,Benllech,Benllech,Isle of Anglesey,town
Q20582649,Bentlass,Bentlass,Bentlass,Bentlass,Pembrokeshire,hamlet
Q107032206,Berllangollen,Berllangollen,Berllangollen,Berllangollen,Caerphilly County Borough,hamlet
Q107032208,Berry,Berry,Berry,Berry,City and County of Swansea,hamlet
Q107032209,Berth-ddu,Berth-ddu,Berth-ddu,Berth-ddu,Flintshire,village
Q107032212,Berth-lwyd,Berth-lwyd,Berth-lwyd,Berth-lwyd,City and County of Swansea,territory
Q107032211,Berthen-gam,Berthen-gam,Berthen-gam,Berthen-gam,Flintshire,village
Q16840752,Berthyfedwen,Berthyfedwen,,,Ceredigion,village
Q24182416,Berwyn,Berwyn,Berwyn,Berwyn,Llangollen,hamlet
Q107032216,Bethania,Bethania,Bethania,Bethania,Ffestiniog,suburb
Q13126000,Bethania,Bethania,,,Beddgelert,hamlet
Q4897692,"Bethania, Ceredigion",Bethania,Bethania,Bethania,Dyffryn Arth,village
Q107032217,Bethel,Bethel,Bethel,Bethel,Gwynedd,hamlet
Q4897810,Bethel,Bethel,Bethel,Bethel,Anglesey,village
Q3402550,Bethel,Bethel,Bethel,Bethel,Gwynedd,village
Q19903507,Bethesda,Bethesda,Bethesda,Bethesda,Pembrokeshire,hamlet
Q1883524,Bethesda,Bethesda,Bethesda,Bethesda,Gwynedd,town
Q107032219,Bethesda Bach,Bethesda Bach,Bethesda Bach,Bethesda Bach,Gwynedd,village
Q4898006,Bethlehem,"Bethlehem, Wales",Bethlehem,Bethlehem,Llangadog,hamlet
Q107032220,Betws,Betws,Betws,Betws,Crucorney,hamlet
Q4898674,Betws,Bettws,Betws,Betws,Garw Valley,village
Q24670739,Betws,Bettws,,,Powys,community
Q14508463,Betws Bledrws,Betws Bledrws,Betws Bledrws,Betws Bledrws,Ceredigion,village
Q4898676,Betws Cedewain,Bettws Cedewain,,,Bettws,village
Q3396764,Betws Garmon,Betws Garmon,Betws Garmon,Betws Garmon,Gwynedd,village
Q4899221,Betws Gwerful Goch,Betws Gwerfil Goch,Betws Gwerful Goch,Betws Gwerful Goch,Denbighshire,village
Q3402056,Betws Ifan,Betws Ifan,Betws Ifan,Betws Ifan,Ceredigion,village
Q14508465,Betws Leucu,Capel Betws Lleucu,Capel Betws Leucu,Capel Betws Leucu,Ceredigion,hamlet
Q4898680,Betws Newydd,Bettws Newydd,Betws Newydd,Betws Newydd,Monmouthshire,hamlet
Q203387,Betws-y-Coed,Betws-y-Coed,Betws-y-coed,Betws-y-coed,Conwy County Borough,town
Q4899223,Betws-yn-Rhos,Betws yn Rhos,Betws-yn-Rhos,Betws-yn-Rhos,Conwy County Borough,village
Q4898677,"Betws, Casnewydd",Bettws,Betws,Betws,City of Newport,suburb
Q3402099,Beulah,Beulah,Beulah,Beulah,Ceredigion,village
Q3115423,"Beulah, Powys",Beulah,Beulah,Beulah,Treflys,village
Q18159663,Bigyn,Bigyn,Bigyn,Bigyn,Carmarthenshire,ward
Q4918135,Bishpool,Bishpool,Bishpool,Bishpool,City of Newport,human settlement
Q1992389,Biwmares,Beaumaris,Biwmares,Beaumaris,Beaumaris Community,town
Q4923228,Black Pill,Black Pill,Blackpill,Blackpill,City and County of Swansea,suburb
Q107032222,Black Vein,Black Vein,Black Vein,Black Vein,Caerphilly County Borough,human settlement
Q107032223,Blackrock,Blackrock,Blackrock,Blackrock,Blaenau Gwent County Borough,human settlement
Q107032225,Blaen Nanmor,Blaen Nanmor,Blaen Nanmor,Blaen Nanmor,Gwynedd,territory
Q107032238,Blaen-gwawr,Blaen-gwawr,Blaen-gwawr,Blaen-gwawr,Rhondda Cynon Taf,territory
Q4923811,Blaen-gwrach,Blaengwrach,Blaen-gwrach,Blaen-gwrach,Neath Port Talbot County Borough,community
Q16245976,Blaen-pant,Blaen-pant,,,Ceredigion,village
Q13126073,Blaen-waun,Blaenwaun,Blaen-waun,Blaen-waun,Carmarthenshire,hamlet
Q107032242,Blaen-waun,Blaen-waun,Blaen-waun,Blaen-waun,Ceredigion,territory
Q4923824,Blaen-y-coed,Blaenycoed,Blaen-y-coed,Blaen-y-coed,Carmarthenshire,hamlet
Q107032243,Blaen-y-cwm,Mountain Air,Blaen-y-cwm,Mountain Air,Blaenau Gwent County Borough,suburb
Q4923809,Blaen-y-ffos,Blaenffos,Blaen-ffos,Blaen-ffos,Pembrokeshire,village
Q804282,Blaenafon,Blaenavon,Blaenafon,Blaenafon,Blaenavon,town
Q107032228,Blaenaman,Blaenaman,Blaenaman,Blaenaman,Rhondda Cynon Taf,territory
Q13126078,Blaenannerch,Blaenannerch,Blaenannerch,Blaenannerch,Ceredigion,village
Q107032230,Blaenau,Blaenau,Blaenau,Blaenau,Flintshire,hamlet
Q3404671,Blaenau,Blaina,Blaenau,Blaina,Blaenau Gwent County Borough,town
Q881062,Blaenau Ffestiniog,Blaenau Ffestiniog,Blaenau Ffestiniog,Blaenau Ffestiniog,Gwynedd,town
Q107032231,Blaenau Gwent,Blaenau Gwent,Blaenau Gwent,Blaenau Gwent,Blaenau Gwent County Borough,suburb
Q16604074,Blaenbedw Fawr,Blaenbedw Fawr,,,Ceredigion,village
Q16245984,Blaenborthyn,Blaenborthyn,,,Ceredigion,village
Q107032232,Blaencarno,Blaencarno,Blaencarno,Blaencarno,Caerphilly County Borough,human settlement
Q15987467,Blaencelyn,Blaen Celyn,Blaencelyn,Blaencelyn,Ceredigion,hamlet
Q107032234,Blaencil-llech,Blaencil-llech,Blaencil-llech,Blaencil-llech,Ceredigion,human settlement
Q20161307,Blaenclydach,Blaenclydach,Blaenclydach,Blaenclydach,Rhondda Cynon Taf,suburb
Q4923806,Blaencwm,Blaencwm,Blaen-cwm,Blaen-cwm,Rhondda Cynon Taf,village
Q107032236,Blaencwmboi,Blaencwmboi,Blaencwmboi,Blaencwmboi,Rhondda Cynon Taf,territory
Q7457421,Blaendulais,Seven Sisters,Blaendulais,Seven Sisters,Neath Port Talbot County Borough,village
Q20583175,Blaendyryn,Blaendyryn,,,Powys,hamlet
Q3406145,Blaengarw,Blaengarw,Blaengarw,Blaengarw,Bridgend County Borough,village
Q15987468,Blaengeuffordd,Blaen-geuffordd,Blaengeuffordd,Blaengeuffordd,Ceredigion,hamlet
Q4923812,Blaengwynfi,Blaengwynfi,Blaengwynfi,Blaengwynfi,Neath Port Talbot County Borough,village
Q107032239,Blaenhalen,Blaenhalen,Blaenhalen,Blaenhalen,Carmarthenshire,human settlement
Q4923813,Blaenhonddan,Blaenhonddan,Blaenhonddan,Blaenhonddan,Neath Port Talbot County Borough,community
Q4923816,Blaenllechau,Blaenllechau,Blaenllechau,Blaenllechau,Rhondda Cynon Taf,village
Q17485320,Blaenos,Blaen-nos,Blaen-nos,Blaen-nos,Llandovery,hamlet
Q14508467,Blaenpennal,Blaenpennal,Blaenpennal,Blaenpennal,Ceredigion,village
Q10963324,Blaenplwyf,Blaenplwyf,Blaen-plwyf,Blaen-plwyf,Ceredigion,village
Q14508468,Blaenporth,Blaenporth,Blaen-porth,Blaen-porth,Ceredigion,village
Q15651371,Blaenrheidol,Blaenrheidol,,,Ceredigion,community
Q4923822,Blaenrhondda,Blaenrhondda,Blaenrhondda,Blaenrhondda,Rhondda Cynon Taf,village
Q107032240,Blaenrhymni,Blaenrhymni,Blaenrhymni,Blaenrhymni,Caerphilly County Borough,territory
Q16214334,Bleddfa,Bleddfa,Bleddfa,Bleddfa,Powys,hamlet
Q107032245,Blue Anchor,Blue Anchor,Blue Anchor,Blue Anchor,City and County of Swansea,village
Q4930576,Bluestone,"Bluestone, Pembrokeshire",,,Pembrokeshire,village
Q4949412,Bochrwyd,Boughrood,Bochrwyd,Boughrood,Glasbury,village
Q3399236,Bodedern,Bodedern,Bodedern,Bodedern,Isle of Anglesey,village
Q4936476,Bodelwyddan,Bodelwyddan,Bodelwyddan,Bodelwyddan,Denbighshire,community
Q3403385,Bodewryd,Bodewryd,Bodewryd,Bodewryd,Anglesey,hamlet
Q16214333,Bodfach,Bodfach,,,Powys,village
Q11008013,Bodfari,Bodfari,Bodfari,Bodfari,Denbighshire,community
Q4936501,Bodferin,Bodferin,,,Gwynedd,village
Q3402654,Bodffordd,Bodffordd,Bodffordd,Bodffordd,Isle of Anglesey,village
Q3400978,Bodorgan,Bodorgan,Bodorgan,Bodorgan,Isle of Anglesey,hamlet
Q16246003,Bodrida,Bodrida,,,Anglesey,village
Q107032246,Bodringallt,Bodringallt,Bodringallt,Bodringallt,Rhondda Cynon Taf,territory
Q4936754,Boduan,Boduan,Boduan,Boduan,Gwynedd,hamlet
Q13126121,Bodwrog,Bodwrog,Bodwrog,Bodwrog,Isle of Anglesey,parish
Q16246005,Bodwyn,Bodwyn,,,Anglesey,village
Q107032248,Bola-haul,Bola-haul,Bola-haul,Bola-haul,Carmarthenshire,human settlement
Q107032249,Bolgoed,Bolgoed,Bolgoed,Bolgoed,City and County of Swansea,territory
Q4940922,Bôn-y-maen,Bon-y-maen,Bôn-y-maen,Bôn-y-maen,City and County of Swansea,community
Q4941233,Boncath,Boncath,Boncath,Boncath,Pembrokeshire,village
Q107032250,Bont,Bont,Bont,Bont,Monmouthshire,hamlet
Q15203266,Bont-fawr,Bont Fawr,Bont-fawr,Bont-fawr,Carmarthenshire,village
Q15999254,Bont-goch,Bont Goch,Bont-goch,Bont-goch,Ceredigion,village
Q4942605,Bontdolgadfan,Bont Dolgadfan,Bontdolgadfan,Bontdolgadfan,Powys,village
Q16246013,Bontnewydd,Bontnewydd,Bontnewydd,Bontnewydd,Ceredigion,hamlet
Q3396864,Bontnewydd,Bontnewydd,Y Bontnewydd,Y Bontnewydd,Gwynedd,village
Q23727092,Bontnewydd,Bontnewydd,Bontnewydd,Bontnewydd,Denbighshire,hamlet
Q13126140,Bontnewydd (Meirionnydd),Bontnewydd,Y Bontnewydd,Y Bontnewydd,Brithdir and Llanfachreth,hamlet
Q4942645,Bontuchel,Bontuchel,Bontuchel,Bontuchel,Denbighshire,hamlet
Q4946552,Borras,Borras,Borras,Borras,Wrexham County Borough,village
Q25558292,Borth-y-Gest,Borth-y-Gest,Borth-y-Gest,Borth-y-Gest,Gwynedd,village
Q4947259,Bosherston,Bosherston,Bosherston,Bosherston,Stackpole and Castlemartin,village
